,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,427,535,605,719,824,987,"1,015","1,240","1,449","1,379","1,221","1,572","1,848"
Expenses +,390,467,535,631,721,859,897,"1,099","1,292","1,223","1,087","1,378","1,608"
Operating Profit,38,68,70,88,103,127,118,141,157,157,134,194,240
OPM %,9%,13%,12%,12%,12%,13%,12%,11%,11%,11%,11%,12%,13%
Other Income +,0,0,0,1,1,1,-9,8,1,1,0,3,4
Interest,10,21,13,14,12,16,23,23,22,18,12,9,8
Depreciation,13,17,18,22,31,33,39,44,49,53,57,59,62
Profit before tax,15,30,39,53,61,79,46,82,87,87,65,129,174
Tax %,28%,30%,30%,29%,30%,28%,28%,36%,35%,9%,28%,26%,
Net Profit,11,21,28,37,42,57,33,53,56,75,47,94,127
EPS in Rs,9.25,17.67,23.17,31.16,35.51,47.93,25.11,39.94,42.29,56.66,35.48,71.55,96.36
