,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,34.35,35.42,32.35,28.68,20.39,25.50,53.53,21.05,18.60,22.31,31.48
Expenses +,38.04,39.36,34.73,29.40,23.14,24.05,51.99,22.60,20.29,21.11,29.80
Operating Profit,-3.69,-3.94,-2.38,-0.72,-2.75,1.45,1.54,-1.55,-1.69,1.20,1.68
OPM %,-10.74%,-11.12%,-7.36%,-2.51%,-13.49%,5.69%,2.88%,-7.36%,-9.09%,5.38%,5.34%
Other Income +,1.14,1.73,1.57,1.62,6.82,2.79,1.64,1.81,1.07,-0.78,0.25
Interest,0.79,0.45,0.38,0.37,0.50,0.52,0.46,0.81,0.92,1.37,1.58
Depreciation,5.01,4.90,1.05,0.94,0.93,0.86,0.86,0.84,0.82,0.71,0.69
Profit before tax,-8.35,-7.56,-2.24,-0.41,2.64,2.86,1.86,-1.39,-2.36,-1.66,-0.34
Tax %,-2.16%,4.10%,61.16%,-370.73%,-11.36%,0.00%,19.89%,5.76%,-2.97%,0.00%,-11.76%
Net Profit,-8.53,-7.25,-0.87,-1.93,2.94,2.86,1.49,-1.31,-2.43,-1.66,-0.38
EPS in Rs,-5.97,-5.08,-0.61,-1.35,2.06,2.00,1.04,-0.92,-1.70,-1.16,-0.27
