,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,628,807,978,"1,111","1,253","1,380","1,548","1,658","1,748","1,732","1,982","2,301","2,652"
Expenses +,473,545,650,750,865,980,"1,104","1,203","1,277","1,276","1,471","1,690","1,963"
Operating Profit,155,262,328,361,389,400,443,455,471,456,511,611,689
OPM %,25%,33%,34%,32%,31%,29%,29%,27%,27%,26%,26%,27%,26%
Other Income +,130,43,20,103,24,43,50,25,73,73,83,123,180
Interest,0,0,0,0,0,0,0,0,2,0,14,9,7
Depreciation,21,30,34,38,36,37,55,47,43,37,121,106,102
Profit before tax,264,275,314,425,376,406,438,434,500,492,458,618,761
Tax %,22%,25%,30%,30%,29%,30%,33%,30%,27%,30%,23%,25%,
Net Profit,205,206,220,298,268,285,294,304,363,344,355,466,575
EPS in Rs,28.94,29.07,31.38,42.16,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,78.80
