,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,164,229,286,307,318,375,487,519,608,673,524,610,743
Expenses +,148,206,260,278,276,322,448,501,595,580,459,539,631
Operating Profit,16,23,26,29,42,54,39,18,13,93,65,72,111
OPM %,10%,10%,9%,9%,13%,14%,8%,4%,2%,14%,12%,12%,15%
Other Income +,1,2,1,3,-1,3,15,12,24,8,-26,7,-36
Interest,3,3,4,4,3,2,13,14,25,30,24,17,18
Depreciation,4,6,8,8,9,10,12,19,20,33,26,25,27
Profit before tax,10,15,15,20,29,45,29,-3,-8,38,-10,37,30
Tax %,9%,20%,2%,18%,31%,35%,50%,-181%,9%,21%,-104%,38%,
Net Profit,9,12,15,16,20,29,15,-8,-8,30,-21,23,8
EPS in Rs,3.96,6.04,7.32,8.01,7.14,10.51,3.74,-2.18,-2.15,7.88,-5.74,5.86,2.00
