,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,49.37,60.46,65.27,90.78,101.26,169.15,277.38,312.68,0.00,0.73,2.38,2.65,6.40
Expenses +,24.33,31.74,29.26,38.51,46.31,71.58,121.60,149.28,0.01,0.17,1.01,1.83,4.20
Operating Profit,25.04,28.72,36.01,52.27,54.95,97.57,155.78,163.40,-0.01,0.56,1.37,0.82,2.20
OPM %,50.72%,47.50%,55.17%,57.58%,54.27%,57.68%,56.16%,52.26%,,76.71%,57.56%,30.94%,34.38%
Other Income +,2.47,0.86,1.77,1.22,1.33,-0.47,9.29,5.65,0.33,0.01,0.02,0.22,0.41
Interest,3.75,4.52,6.44,8.71,10.77,15.03,22.28,11.58,0.01,0.23,0.33,0.19,0.28
Depreciation,6.23,7.06,10.07,12.05,12.15,20.42,33.52,38.78,0.07,0.17,0.31,0.31,0.34
Profit before tax,17.53,18.00,21.27,32.73,33.36,61.65,109.27,118.69,0.24,0.17,0.75,0.54,1.99
Tax %,32.40%,33.50%,42.83%,38.92%,36.36%,33.56%,31.18%,34.75%,29.17%,-182.35%,20.00%,14.81%,
Net Profit,11.85,11.97,12.16,19.99,21.23,40.95,75.20,77.45,0.17,0.48,0.60,0.46,1.47
EPS in Rs,5.04,4.81,4.62,7.60,7.27,14.02,22.02,24.19,0.05,0.14,0.13,0.10,0.41
