,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,513,663,710,745,721,744,723,755,757,717,802,726,764
Expenses +,434,611,625,721,702,704,676,743,735,766,741,727,761
Operating Profit,79,52,85,24,19,40,47,12,22,-48,61,-1,2
OPM %,15%,8%,12%,3%,3%,5%,7%,2%,3%,-7%,8%,-0%,0%
Other Income +,13,28,30,48,22,28,26,48,42,61,15,32,-24
Interest,25,42,42,51,51,48,42,43,49,59,48,38,38
Depreciation,12,16,14,17,16,19,18,18,19,25,25,24,24
Profit before tax,55,23,59,4,-26,2,13,0,-4,-71,3,-31,-83
Tax %,10%,3%,24%,-32%,10%,497%,57%,"-2,688%",2%,-16%,22%,113%,
Net Profit,49,22,45,5,-23,-7,17,34,-4,-102,19,24,-28
EPS in Rs,21.57,7.06,15.38,1.68,-7.92,-2.82,5.88,11.85,-1.22,-35.38,6.60,8.18,-9.74
