,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,205","1,562","1,709","1,304","1,349","1,299","1,414","1,603","1,266","1,092",912,"1,236","1,356"
Expenses +,"1,120","1,346","1,487","1,208","1,210","1,164","1,286","1,477","1,169","1,011",845,"1,097","1,189"
Operating Profit,84,216,222,95,139,134,129,126,97,81,67,139,167
OPM %,7%,14%,13%,7%,10%,10%,9%,8%,8%,7%,7%,11%,12%
Other Income +,28,6,23,66,9,12,21,16,21,22,6,26,15
Interest,59,117,126,76,71,68,46,41,31,22,15,7,6
Depreciation,40,54,64,39,53,51,48,46,44,41,39,35,34
Profit before tax,13,51,55,46,24,27,54,55,43,40,19,122,142
Tax %,-52%,38%,33%,16%,43%,45%,29%,42%,35%,35%,29%,23%,
Net Profit,20,32,38,39,14,15,38,32,28,26,14,94,98
EPS in Rs,0.67,0.73,0.93,1.57,0.56,0.59,1.53,1.14,1.00,0.95,0.50,3.39,3.55
