,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"35,070","44,093","50,974","61,765","60,557","52,053","48,552","54,496","76,190","72,518","57,372","92,770","130,018"
Expenses +,"28,523","37,054","43,547","53,777","54,926","47,517","42,531","46,695","66,252","63,495","50,127","77,608","114,677"
Operating Profit,"6,547","7,040","7,427","7,988","5,631","4,536","6,021","7,802","9,938","9,022","7,245","15,161","15,341"
OPM %,19%,16%,15%,13%,9%,9%,12%,14%,13%,12%,13%,16%,12%
Other Income +,508,722,887,"1,247",945,731,"1,212",948,"1,719","3,796","2,833","2,925","2,602"
Interest,378,366,437,669,652,822,509,295,159,309,179,202,243
Depreciation,878,"1,041","1,319","1,644","1,433","1,496","1,541","1,527","1,667","2,080","2,174","2,420","2,598"
Profit before tax,"5,799","6,355","6,558","6,922","4,492","2,949","5,183","6,928","9,831","10,429","7,725","15,464","15,101"
Tax %,31%,31%,34%,32%,32%,37%,35%,31%,33%,9%,20%,20%,
Net Profit,"4,021","4,444","4,367","4,786","3,160","1,874","3,374","4,805","6,553","9,515","6,143","12,304","11,829"
EPS in Rs,5.94,6.57,6.46,7.07,4.67,2.76,4.98,7.09,9.68,13.93,9.21,18.40,17.82
