,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,194","1,385","1,658","1,824","1,934","1,655","1,690","1,751","1,764","1,810","1,342","1,844","2,311"
Expenses +,"1,105","1,261","1,505","1,685","1,854","1,612","1,617","1,672","1,681","1,690","1,216","1,762","2,214"
Operating Profit,89,125,153,139,80,42,73,79,83,120,126,82,97
OPM %,7%,9%,9%,8%,4%,3%,4%,5%,5%,7%,9%,4%,4%
Other Income +,0,1,4,5,23,4,3,6,4,2,12,8,7
Interest,25,33,25,52,57,61,55,44,53,62,52,41,41
Depreciation,5,6,8,10,9,10,9,9,10,32,27,23,23
Profit before tax,60,87,124,83,38,-26,12,32,23,28,60,26,40
Tax %,35%,34%,32%,34%,36%,-7%,-10%,34%,33%,24%,28%,22%,
Net Profit,39,57,84,55,24,-28,13,21,16,21,43,20,31
EPS in Rs,,,12.67,8.25,3.65,-4.13,1.94,3.19,2.33,3.21,6.48,3.02,4.58
