,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,207,228,262,274,299,270,291,327,301,268,274,349,396
Expenses +,182,206,243,253,273,259,274,304,275,258,256,332,379
Operating Profit,25,22,18,21,26,11,17,23,26,10,18,18,17
OPM %,12%,10%,7%,8%,9%,4%,6%,7%,8%,4%,7%,5%,4%
Other Income +,4,4,5,1,1,189,18,11,4,3,15,8,4
Interest,3,4,5,4,4,2,1,1,1,1,0,1,1
Depreciation,2,2,3,3,4,4,4,4,4,4,5,4,4
Profit before tax,24,21,16,15,20,195,30,28,24,8,29,21,16
Tax %,34%,33%,50%,40%,28%,20%,24%,16%,19%,61%,28%,32%,
Net Profit,16,14,8,9,14,156,23,24,20,3,20,14,11
EPS in Rs,10.65,9.87,5.47,5.80,9.31,114.66,14.37,16.34,12.88,1.39,15.12,10.35,7.94
