,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,317,452,588,681,659,719,719,856,457,1,0,0,0
Expenses +,229,444,437,510,510,573,549,677,561,403,380,3,5
Operating Profit,88,7,151,170,150,146,171,179,-104,-402,-379,-3,-5
OPM %,28%,2%,26%,25%,23%,20%,24%,21%,-23%,"-48,492%","-75,816%",,
Other Income +,8,4,-126,28,23,41,3,8,45,7,0,-589,-589
Interest,8,16,21,23,37,46,66,84,100,115,147,165,182
Depreciation,4,10,17,20,36,36,43,47,47,47,43,39,12
Profit before tax,85,-14,-13,154,100,104,64,56,-206,-557,-569,-795,-789
Tax %,14%,-181%,442%,23%,32%,30%,21%,34%,25%,-2%,0%,0%,
Net Profit,73,-40,44,118,68,73,51,37,-154,-567,-569,-795,-789
EPS in Rs,26.40,-8.62,15.98,36.82,21.23,22.91,15.87,11.67,-48.16,-177.04,-177.50,-248.18,-246.11
