,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,75,117,118,144,128,117,137,132,145,121,100,121,121
Expenses +,103,128,125,119,102,89,104,105,111,111,97,101,113
Operating Profit,-27,-11,-8,26,26,28,32,28,34,10,4,20,8
OPM %,-36%,-10%,-7%,18%,20%,24%,24%,21%,23%,8%,4%,17%,7%
Other Income +,1,1,1,3,1,1,1,1,-2,2,3,2,1
Interest,4,7,11,19,16,15,16,14,13,12,13,10,9
Depreciation,13,16,21,19,24,15,13,17,13,11,8,6,6
Profit before tax,-43,-33,-39,-10,-13,-1,4,-2,5,-11,-14,5,-6
Tax %,-4%,-1%,2%,4%,29%,106%,-2%,61%,-1%,3%,-1%,4%,
Net Profit,-44,-33,-38,-9,-9,0,4,-1,5,-10,-15,5,-6
EPS in Rs,-2.68,-0.41,-2.24,-0.54,-0.53,0.00,0.06,-0.11,0.17,-0.46,-0.59,0.14,-0.15
