,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales +,101,387,443,534,640,563,561,493,266,332,226,230,232
Expenses +,57,247,312,357,413,445,384,367,222,211,173,166,188
Operating Profit,44,140,131,177,227,119,177,126,44,120,53,64,43
OPM %,44%,36%,30%,33%,35%,21%,32%,26%,17%,36%,23%,28%,19%
Other Income +,1,-19,18,10,9,90,-43,31,54,128,88,26,"-1,200"
Interest,2,5,15,6,17,13,35,73,40,55,9,5,3
Depreciation,4,11,15,38,62,39,33,39,26,43,44,33,32
Profit before tax,40,104,118,143,156,158,66,46,31,150,88,52,"-1,191"
Tax %,1%,1%,1%,-0%,1%,1%,-63%,-52%,-4%,1%,-4%,-0%,
Net Profit,39,103,117,143,155,156,108,69,32,148,91,52,"-1,190"
EPS in Rs,1.64,3.10,2.59,2.93,1.92,1.93,1.34,0.85,0.40,1.46,0.61,0.35,-7.95
