,Mar 2010,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,104,157,220,523,622,406,390,362,293,467,641,750,779
Expenses +,79,115,156,434,507,305,286,249,263,380,564,663,667
Operating Profit,25,42,64,89,116,101,103,114,31,88,77,87,111
OPM %,24%,27%,29%,17%,19%,25%,27%,31%,10%,19%,12%,12%,14%
Other Income +,2,2,7,8,6,9,6,8,25,12,11,6,6
Interest,4,7,7,12,15,14,15,15,13,15,26,21,23
Depreciation,12,13,13,15,22,24,24,27,29,26,24,22,23
Profit before tax,11,24,50,70,85,71,70,80,13,59,39,50,71
Tax %,35%,24%,26%,27%,26%,21%,17%,23%,27%,26%,25%,25%,
Net Profit,7,19,37,51,63,56,58,61,10,44,29,38,51
EPS in Rs,0.86,2.27,4.55,6.21,7.67,6.50,6.65,7.05,1.13,5.08,3.33,4.37,5.89
