,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,792","2,720","3,318","3,841","3,737","3,666","4,625","4,559","5,249","4,728","4,531","6,998","6,967"
Expenses +,"1,455","2,420","2,763","3,109","3,075","2,936","3,740","3,708","4,266","3,882","3,705","5,478","5,821"
Operating Profit,337,300,555,732,661,730,885,852,983,846,826,"1,520","1,146"
OPM %,19%,11%,17%,19%,18%,20%,19%,19%,19%,18%,18%,22%,16%
Other Income +,40,20,22,12,34,33,107,63,44,20,-18,16,-6
Interest,110,172,235,210,206,145,141,118,112,111,72,86,80
Depreciation,174,208,261,268,321,337,412,404,364,334,337,333,313
Profit before tax,93,-59,81,265,168,281,439,392,550,421,398,"1,116",748
Tax %,39%,26%,39%,26%,30%,14%,23%,32%,32%,19%,24%,25%,
Net Profit,56,-43,49,194,118,242,337,266,372,340,304,834,559
EPS in Rs,0.25,-0.14,0.16,0.62,0.23,0.48,0.66,0.52,0.73,0.67,0.60,1.64,1.09
