,Mar 2010,Mar 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,061","1,080","2,204","3,991","2,783","2,132","1,818","1,869","1,239",562,333,308,219
Expenses +,"1,531","1,303","2,150","3,835","2,584","2,336","1,668","1,712","1,327",556,554,526,430
Operating Profit,-470,-222,54,156,199,-204,150,157,-88,6,-221,-218,-210
OPM %,-44%,-21%,2%,4%,7%,-10%,8%,8%,-7%,1%,-67%,-71%,-96%
Other Income +,486,353,111,157,116,134,196,277,"-1,618",-354,-3,-108,-132
Interest,165,75,214,334,273,308,349,409,290,26,43,46,33
Depreciation,97,57,98,114,64,56,48,45,37,32,19,14,12
Profit before tax,-246,-1,-146,-136,-22,-435,-52,-21,"-2,033",-406,-286,-386,-387
Tax %,-2%,337%,-7%,-3%,-4%,-0%,-1%,18%,-1%,0%,0%,0%,
Net Profit,-252,2,-157,-140,-23,-437,-46,15,"-2,043",-405,-285,-386,-387
EPS in Rs,-42.80,0.32,-16.37,-16.15,-0.97,-26.89,-3.53,0.88,-155.79,-30.89,-21.74,-29.45,-29.50
