,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,103,230,505,799,"1,455","1,970","2,537","2,617",900,276
Expenses +,85,193,436,703,"1,229","1,643","2,143","2,261",959,614
Operating Profit,17,37,69,97,226,327,393,355,-59,-338
OPM %,17%,16%,14%,12%,16%,17%,16%,14%,-7%,-122%
Other Income +,0,1,4,12,21,12,11,7,6,1
Interest,2,3,5,14,71,123,197,302,493,725
Depreciation,1,1,3,3,7,10,14,19,20,19
Profit before tax,15,33,66,91,167,206,193,41,-567,"-1,081"
Tax %,41%,39%,38%,39%,35%,36%,36%,35%,-0%,0%
Net Profit,9,20,41,55,108,132,123,27,-569,"-1,081"
EPS in Rs,,,,,,26.25,24.39,5.32,-112.69,-214.26
