,Sep 2010,Sep 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,324","4,101","4,049","6,502","4,113","3,432","4,145","5,059","6,262","5,810","7,014","7,238","7,794"
Expenses +,"3,205","3,817","3,860","6,115","4,039","3,271","3,878","4,506","5,539","5,149","5,888","6,317","6,956"
Operating Profit,120,284,190,387,73,161,268,553,723,661,"1,126",922,838
OPM %,4%,7%,5%,6%,2%,5%,6%,11%,12%,11%,16%,13%,11%
Other Income +,180,-55,50,87,124,31,36,58,99,88,160,218,156
Interest,70,71,97,112,58,51,32,29,20,17,13,15,14
Depreciation,48,48,50,86,69,58,63,73,87,107,118,132,140
Profit before tax,181,110,92,275,70,82,208,509,715,625,"1,155",993,840
Tax %,27%,-14%,20%,10%,-8%,15%,37%,32%,33%,25%,25%,26%,
Net Profit,132,125,73,247,76,70,131,347,478,472,872,736,623
EPS in Rs,12.50,11.97,6.99,20.13,6.23,5.76,10.71,28.31,39.07,38.53,64.63,55.82,48.46
