,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,275","1,549","1,842","2,065","2,694","2,423","2,474","2,634","2,931","3,056","1,708","2,388","3,279"
Expenses +,"1,112","1,310","1,556","1,728","2,343","2,129","2,178","2,271","2,441","2,210","1,540","1,960","2,543"
Operating Profit,163,239,287,338,351,294,296,364,490,846,169,427,736
OPM %,13%,15%,16%,16%,13%,12%,12%,14%,17%,28%,10%,18%,22%
Other Income +,14,165,29,18,75,97,18,49,66,66,87,54,53
Interest,8,10,12,13,18,16,15,15,14,129,108,99,100
Depreciation,33,41,51,59,79,79,65,60,64,296,265,242,276
Profit before tax,136,352,253,283,329,297,234,337,478,487,-117,140,414
Tax %,35%,27%,32%,33%,30%,27%,32%,35%,31%,32%,23%,26%,
Net Profit,88,259,172,191,231,217,159,221,329,329,-89,103,309
EPS in Rs,6.88,20.14,13.39,14.86,18.00,16.91,12.37,17.16,25.60,25.59,-6.95,8.01,24.09
