,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,263,320,472,385,83,19,19,22,31,32,30,-0,0
Expenses +,249,309,466,370,22,27,27,16,23,"1,825",25,3,5
Operating Profit,14,11,6,15,61,-8,-8,6,8,"-1,792",5,-3,-5
OPM %,5%,3%,1%,4%,73%,-45%,-40%,27%,26%,"-5,563%",16%,,
Other Income +,14,0,2,1,-66,-91,37,-144,81,0,-308,47,11
Interest,28,15,234,222,223,240,215,292,295,183,195,206,70
Depreciation,0,0,1,1,4,4,3,3,3,3,5,0,0
Profit before tax,-0,-4,-227,-207,-232,-343,-189,-433,-209,"-1,978",-503,-162,-63
Tax %,"-9,700%",-95%,-0%,-0%,-0%,-0%,-1%,0%,-0%,-0%,-1%,1%,
Net Profit,-3,-7,-215,-204,-377,-483,-316,-432,-210,"-1,926",-507,-161,-63
EPS in Rs,-2.46,-6.76,-200.19,-9.44,-17.41,-22.30,-14.60,-19.97,-9.67,-91.33,-23.39,-7.43,-2.93
