,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,19.99,11.32,9.06,10.05,11.04,10.60,10.73,10.30,11.06,4.25,0.02,1.16,0.48
Expenses +,19.68,11.23,10.24,9.87,11.05,10.52,10.74,10.22,11.00,4.18,1.42,1.86,1.39
Operating Profit,0.31,0.09,-1.18,0.18,-0.01,0.08,-0.01,0.08,0.06,0.07,-1.40,-0.70,-0.91
OPM %,1.55%,0.80%,-13.02%,1.79%,-0.09%,0.75%,-0.09%,0.78%,0.54%,1.65%,"-7,000.00%",-60.34%,-189.58%
Other Income +,0.14,0.14,0.48,-0.19,0.03,-0.05,0.07,0.07,0.08,0.05,0.03,0.05,0.06
Interest,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.07,0.07,0.06,0.04,0.04,0.04
Depreciation,0.29,0.11,0.11,0.12,0.12,0.14,0.11,0.11,0.09,0.09,0.09,0.05,0.05
Profit before tax,0.14,0.10,-0.82,-0.15,-0.12,-0.13,-0.09,-0.03,-0.02,-0.03,-1.50,-0.74,-0.94
Tax %,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
Net Profit,0.14,0.10,-0.82,-0.15,-0.12,-0.13,-0.09,-0.03,-0.02,-0.03,-1.50,-0.74,-0.94
EPS in Rs,0.01,0.01,-0.06,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.12,-0.06,-0.08
