,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,58,77,52,58,86,63,96,118,85,45,93,111
Expenses +,45,58,37,41,62,58,59,58,37,26,54,55
Operating Profit,14,20,15,17,24,5,38,61,48,19,39,56
OPM %,23%,25%,29%,30%,28%,8%,39%,51%,57%,43%,42%,51%
Other Income +,3,6,6,3,8,11,12,16,20,14,22,34
Interest,17,15,17,16,11,10,27,34,42,45,40,40
Depreciation,27,24,21,16,13,12,27,34,33,30,27,25
Profit before tax,-27,-13,-16,-12,8,-6,-5,8,-6,-42,-6,25
Tax %,-34%,-5%,-12%,-3%,47%,121%,-50%,19%,31%,1%,75%,
Net Profit,-36,-14,-18,-12,4,2,-7,7,-4,-42,-1,25
EPS in Rs,-1.50,-0.59,-0.60,-0.43,0.48,-0.35,-0.29,0.16,-0.10,-1.82,-0.23,0.91
