,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,385","1,848","1,924","2,662","4,430","1,895","1,193","2,001","2,476"
Expenses +,"2,132","1,660","1,647","2,077","2,722","1,567","1,167","1,850","2,335"
Operating Profit,253,187,276,585,"1,708",327,26,151,141
OPM %,11%,10%,14%,22%,39%,17%,2%,8%,6%
Other Income +,58,46,27,-105,45,51,90,-129,-81
Interest,232,290,368,413,489,554,588,524,499
Depreciation,47,34,32,30,30,33,34,33,32
Profit before tax,31,-90,-97,38,"1,234",-209,-507,-534,-470
Tax %,34%,-1%,-30%,7%,0%,257%,7%,14%,
Net Profit,20,-91,-127,35,"1,228",328,-469,-460,-429
EPS in Rs,0.99,-4.41,-6.13,1.70,60.12,15.87,-22.71,-22.29,-20.76
