,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,127.70,126.60,59.59,35.28,55.10,99.62,104.18,140.29,123.99,139.11,100.77,86.25,85.38
Expenses +,104.96,110.39,47.70,39.06,58.95,93.11,92.45,126.34,123.89,137.40,98.80,87.09,90.61
Operating Profit,22.74,16.21,11.89,-3.78,-3.85,6.51,11.73,13.95,0.10,1.71,1.97,-0.84,-5.23
OPM %,17.81%,12.80%,19.95%,-10.71%,-6.99%,6.53%,11.26%,9.94%,0.08%,1.23%,1.95%,-0.97%,-6.13%
Other Income +,1.66,0.68,12.48,-2.67,-5.79,-17.30,0.39,32.03,5.97,3.16,7.49,9.39,10.04
Interest,3.71,6.26,10.44,14.14,0.14,0.36,0.62,0.74,1.03,1.95,1.24,1.39,1.75
Depreciation,6.95,7.37,13.63,14.71,12.36,10.49,6.36,6.81,7.09,8.76,7.25,7.05,6.84
Profit before tax,13.74,3.26,0.30,-35.30,-22.14,-21.64,5.14,38.43,-2.05,-5.84,0.97,0.11,-3.78
Tax %,11.14%,65.95%,"1,356.67%",18.39%,-0.18%,0.00%,-326.85%,32.19%,18.54%,16.95%,-39.18%,"4,000.00%",
Net Profit,12.21,1.11,-3.76,-28.81,-22.18,-21.64,21.94,26.06,-1.67,-4.86,1.34,-4.29,-9.03
EPS in Rs,8.39,0.63,-1.56,-11.96,-9.21,-5.75,4.97,4.29,-0.11,-0.33,0.19,-0.62,-1.25
