,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,873","4,064","4,394","5,231","6,032","6,278","5,980","6,612","6,956","6,530","6,427","7,653","7,976"
Expenses +,"2,857","3,040","3,344","4,078","4,637","4,936","4,732","5,120","5,164","4,836","5,380","5,904","6,114"
Operating Profit,"1,016","1,024","1,050","1,153","1,395","1,342","1,248","1,492","1,792","1,694","1,047","1,748","1,862"
OPM %,26%,25%,24%,22%,23%,21%,21%,23%,26%,26%,16%,23%,23%
Other Income +,197,313,333,358,354,347,309,343,364,-560,223,270,240
Interest,5,5,3,22,18,0,6,6,7,46,43,63,62
Depreciation,149,162,176,236,411,355,367,420,452,544,553,561,555
Profit before tax,"1,059","1,169","1,203","1,253","1,320","1,335","1,184","1,409","1,697",544,674,"1,394","1,485"
Tax %,17%,26%,23%,25%,20%,28%,28%,25%,28%,25%,26%,25%,
Net Profit,876,866,931,946,"1,056",967,854,"1,060","1,222",406,501,"1,052","1,141"
EPS in Rs,14.38,14.20,15.27,15.50,17.31,15.85,14.07,17.55,20.18,6.62,8.29,17.32,18.76
