,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,465","8,473","9,975","10,653","11,088","8,261","9,557","8,556","7,411","8,395","3,566","4,601","6,041"
Expenses +,"4,838","6,900","9,026","8,097","8,533","7,804","6,394","6,999","5,958","6,217","2,661","2,316","4,464"
Operating Profit,"1,627","1,573",948,"2,556","2,555",457,"3,163","1,558","1,453","2,178",905,"2,285","1,577"
OPM %,25%,19%,10%,24%,23%,6%,33%,18%,20%,26%,25%,50%,26%
Other Income +,-631,168,"2,583","2,145",23,369,381,718,"-1,228",144,"-1,930",-521,571
Interest,"1,230","1,653","2,099","2,972","3,572","2,196","2,128","2,316","2,684","3,545","1,803","2,019","2,130"
Depreciation,789,936,"1,040","1,455","1,813","1,197","1,019","1,028",984,"1,064",886,889,948
Profit before tax,"-1,023",-848,393,275,"-2,806","-2,568",397,"-1,069","-3,444","-2,287","-3,714","-1,144",-930
Tax %,-2%,-25%,66%,61%,-5%,-7%,187%,-4%,3%,4%,8%,1%,
Net Profit,"-1,050","-1,059",135,108,"-2,972","-2,749",-347,"-1,115","-3,356","-2,202","-3,428","-1,131",-952
EPS in Rs,-1.97,-1.28,0.19,0.02,-5.16,-4.49,-0.94,-2.26,-5.93,-4.02,-4.63,-1.70,-1.16
