,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,608,723,852,787,798,868,"1,009","1,046","1,162","1,480","1,450","1,577","1,715"
Expenses +,586,690,801,751,750,810,935,966,"1,053","1,342","1,243","1,361","1,491"
Operating Profit,21,33,51,36,49,58,74,80,109,138,207,216,224
OPM %,4%,5%,6%,5%,6%,7%,7%,8%,9%,9%,14%,14%,13%
Other Income +,12,9,5,5,4,7,12,21,34,36,31,42,50
Interest,10,13,17,15,17,17,21,22,21,19,15,13,9
Depreciation,7,9,12,11,12,13,12,13,20,24,28,28,28
Profit before tax,16,20,26,15,24,35,54,66,102,131,195,217,236
Tax %,46%,43%,44%,68%,52%,51%,46%,40%,35%,28%,27%,26%,
Net Profit,9,12,15,5,11,17,29,40,66,94,143,162,177
EPS in Rs,6.23,7.11,10.41,3.13,6.72,10.52,20.73,27.40,44.50,63.83,98.13,110.98,121.69
