,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,022","8,977","9,083","7,705","8,450","7,236","5,899","6,347","8,953","9,957","7,153","6,505","6,738"
Expenses +,"6,757","8,118","8,384","7,035","7,595","6,449","5,380","5,874","8,310","8,794","6,369","6,032","6,675"
Operating Profit,"1,265",858,699,670,855,787,519,473,644,"1,163",784,473,63
OPM %,16%,10%,8%,9%,10%,11%,9%,7%,7%,12%,11%,7%,1%
Other Income +,114,266,-26,174,96,99,139,128,-106,281,629,544,740
Interest,224,400,358,296,283,241,236,170,177,144,85,102,135
Depreciation,244,352,353,406,436,386,386,258,260,233,246,255,259
Profit before tax,910,373,-39,141,231,258,36,173,101,"1,067","1,082",661,409
Tax %,32%,40%,-126%,31%,8%,31%,72%,12%,122%,39%,24%,33%,
Net Profit,623,224,-92,98,214,179,10,153,-22,654,827,444,238
EPS in Rs,30.92,10.47,-2.67,2.79,2.62,5.72,1.00,5.97,-0.50,24.36,29.42,16.82,8.80
