,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,704,699,677,412,451,308,314,433,614,606,518,580,723
Expenses +,776,713,685,431,486,351,362,436,571,561,501,559,688
Operating Profit,-72,-14,-8,-20,-35,-44,-48,-3,42,45,17,20,34
OPM %,-10%,-2%,-1%,-5%,-8%,-14%,-15%,-1%,7%,7%,3%,4%,5%
Other Income +,8,20,45,-29,4,2,92,31,3,3,3,4,8
Interest,42,44,49,42,61,74,20,4,8,11,7,6,6
Depreciation,13,13,12,11,9,9,10,9,9,11,9,10,9
Profit before tax,-119,-50,-24,-101,-101,-124,15,15,29,26,3,8,27
Tax %,0%,-0%,-0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,-118,-50,-25,-101,-101,-124,15,15,29,26,3,8,27
EPS in Rs,-13.53,-5.42,-1.96,-8.05,-8.06,-9.89,1.17,1.03,1.70,1.43,0.16,0.42,1.40
