,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,605,489,447,397,275,226,452,652,371,267,427,961,"1,314"
Expenses +,508,410,409,381,245,191,343,453,271,269,331,714,"1,054"
Operating Profit,97,79,38,17,29,35,109,199,101,-2,97,248,260
OPM %,16%,16%,9%,4%,11%,16%,24%,31%,27%,-1%,23%,26%,20%
Other Income +,21,48,51,45,66,33,51,44,46,32,26,202,44
Interest,5,7,4,1,7,21,40,56,54,57,58,62,58
Depreciation,21,25,18,12,12,8,8,8,7,7,9,9,10
Profit before tax,91,95,67,48,75,39,112,179,85,-34,55,379,237
Tax %,30%,40%,27%,36%,35%,60%,42%,39%,50%,64%,40%,21%,
Net Profit,63,57,49,31,49,15,66,109,43,-12,33,299,188
EPS in Rs,1.69,1.46,1.30,0.78,1.28,0.47,1.43,1.79,1.13,-0.19,0.86,5.83,4.44
