,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"26,405","39,356","46,375","54,947","64,465","34,008","36,533","35,924","40,379","43,403","39,537","69,420","122,643"
Expenses +,"22,317","34,355","40,354","45,564","52,015","32,325","34,631","33,886","38,409","41,108","37,031","65,707","116,997"
Operating Profit,"4,088","5,001","6,021","9,383","12,450","1,684","1,902","2,038","1,969","2,294","2,506","3,714","5,646"
OPM %,15%,13%,13%,17%,19%,5%,5%,6%,5%,5%,6%,5%,5%
Other Income +,377,545,"1,775","1,157",792,"1,044",749,363,504,872,494,"1,012",970
Interest,634,"1,826","3,492","5,703","7,056","1,357","1,257","1,250","1,625","1,572","1,377","2,526","3,178"
Depreciation,559,"1,224","2,298","3,223","3,522",314,315,664,390,472,537,"1,248","1,751"
Profit before tax,"3,273","2,496","2,005","1,614","2,663","1,056","1,079",487,459,"1,122","1,086",952,"1,687"
Tax %,14%,19%,39%,-64%,14%,7%,25%,23%,32%,29%,31%,50%,
Net Profit,"2,826","2,020","1,218","2,646","2,298","1,000",925,594,506,"1,040","1,046",788,"1,229"
EPS in Rs,22.51,16.72,14.67,20.19,17.71,9.19,8.98,6.89,6.52,10.35,8.39,7.06,10.82
