,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,371,502,604,779,837,"1,008","1,157","1,650","2,212","2,199","1,700","2,559","2,521"
Expenses +,336,465,559,710,752,868,"1,020","1,465","2,013","2,060","1,583","2,343","2,261"
Operating Profit,35,38,45,69,85,140,138,184,199,139,116,216,260
OPM %,10%,8%,7%,9%,10%,14%,12%,11%,9%,6%,7%,8%,10%
Other Income +,2,4,3,4,7,1,28,8,7,7,25,6,4
Interest,13,19,22,23,25,43,36,54,74,61,49,46,49
Depreciation,5,5,6,18,32,47,49,53,88,45,29,30,31
Profit before tax,19,17,20,32,35,51,81,85,44,39,62,146,185
Tax %,30%,12%,31%,21%,24%,21%,18%,31%,30%,28%,29%,25%,
Net Profit,13,15,14,25,27,40,66,59,31,28,44,109,140
EPS in Rs,0.66,0.75,0.68,1.27,1.33,2.01,3.31,2.92,1.50,1.42,2.20,5.45,6.96
