,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,835","6,328","5,711","6,349","5,865","3,413","1,854","1,987","2,197","2,159","2,464","3,053","3,361"
Expenses +,"4,642","6,356","5,636","6,294","5,763","3,360","1,821","1,970","2,163","2,121","2,424","3,013","3,313"
Operating Profit,193,-28,75,55,102,53,33,17,33,38,40,40,48
OPM %,4%,-0%,1%,1%,2%,2%,2%,1%,2%,2%,2%,1%,1%
Other Income +,10,72,162,83,50,20,11,33,23,23,12,21,19
Interest,74,152,194,90,108,42,32,33,32,29,20,18,22
Depreciation,30,33,37,37,33,14,4,5,5,6,5,6,7
Profit before tax,99,-141,6,10,12,17,8,12,19,27,27,37,38
Tax %,29%,24%,-58%,65%,24%,34%,68%,27%,35%,26%,24%,28%,
Net Profit,70,-108,10,4,9,11,2,9,12,20,20,27,28
EPS in Rs,5.32,-8.20,0.75,0.27,0.70,0.85,0.18,0.69,0.92,1.50,2.07,2.68,2.84
