,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,124,116,83,298,288,254,308,36,113,42,125,94,58
Expenses +,122,122,131,240,221,248,330,135,164,102,404,106,201
Operating Profit,2,-6,-48,57,67,6,-22,-99,-51,-60,-279,-12,-143
OPM %,2%,-5%,-58%,19%,23%,2%,-7%,-273%,-45%,-144%,-224%,-12%,-248%
Other Income +,20,14,-10,3,3,8,7,-16,-17,-618,283,41,-247
Interest,6,1,77,30,29,50,111,140,96,96,131,92,80
Depreciation,1,2,2,2,1,14,14,13,0,2,0,0,0
Profit before tax,16,5,-137,29,39,-51,-140,-267,-165,-776,-127,-62,-470
Tax %,22%,50%,-4%,20%,21%,0%,-1%,4%,-1%,7%,-62%,-5%,
Net Profit,12,2,-145,5,2,-73,-142,-256,-166,-719,-205,-65,-474
EPS in Rs,0.75,0.02,-9.74,0.36,0.16,-4.99,-9.71,-17.57,-11.35,-49.30,-14.07,-4.48,-32.49
