,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,326,348,473,682,781,779,827,732,507,265,127,90
Expenses +,291,383,446,608,720,705,749,784,659,420,253,93
Operating Profit,34,-35,26,75,61,74,78,-52,-152,-155,-126,-3
OPM %,11%,-10%,6%,11%,8%,9%,9%,-7%,-30%,-58%,-100%,-3%
Other Income +,22,143,42,11,14,13,-22,44,17,4,-79,-33
Interest,17,15,20,37,35,41,52,60,59,38,36,44
Depreciation,8,11,15,28,14,12,9,10,7,6,4,1
Profit before tax,31,82,34,21,26,34,-6,-78,-201,-195,-245,-81
Tax %,21%,13%,36%,15%,22%,42%,-14%,1%,0%,-1%,-1%,-17%
Net Profit,25,71,21,18,20,19,-7,-77,-201,-197,-247,-95
EPS in Rs,2.54,5.08,1.83,2.29,1.89,1.77,-0.46,-6.54,-17.36,-8.35,-10.42,-3.96
