,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,218,199,228,176,163,245,208,162,211,159,132,181,271
Expenses +,195,187,202,161,142,210,193,169,195,140,125,164,248
Operating Profit,23,12,26,14,21,36,15,-7,15,19,7,17,23
OPM %,11%,6%,11%,8%,13%,15%,7%,-4%,7%,12%,5%,10%,9%
Other Income +,6,4,3,-4,3,13,5,4,4,6,6,9,9
Interest,9,12,13,12,11,10,8,4,3,2,4,6,6
Depreciation,12,6,4,4,3,2,2,2,2,2,2,2,3
Profit before tax,8,-3,12,-5,10,36,10,-9,15,21,7,18,24
Tax %,52%,-12%,44%,-79%,34%,18%,-1%,2%,13%,25%,63%,26%,
Net Profit,11,-3,7,-9,7,30,10,-9,13,16,3,13,22
EPS in Rs,24.91,-12.52,11.41,-41.08,12.78,88.85,33.10,-28.76,37.59,48.94,17.02,41.41,68.73
