,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"20,023","23,436","27,004","29,234","31,972","32,186","33,162","35,545","39,310","39,783","47,028","52,446","59,132"
Expenses +,"17,305","19,936","22,784","24,475","26,560","26,276","26,834","28,046","30,430","29,930","35,402","39,589","45,256"
Operating Profit,"2,717","3,500","4,220","4,759","5,412","5,910","6,328","7,499","8,880","9,853","11,626","12,857","13,876"
OPM %,14%,15%,16%,16%,17%,18%,19%,21%,23%,25%,25%,25%,23%
Other Income +,470,357,"1,123",792,"1,247",486,606,353,322,432,170,219,344
Interest,1,2,26,41,18,17,35,26,33,118,117,106,123
Depreciation,229,234,251,296,322,353,432,520,565,"1,002","1,074","1,091","1,124"
Profit before tax,"2,957","3,622","5,066","5,215","6,320","6,026","6,467","7,306","8,604","9,165","10,605","11,879","12,973"
Tax %,22%,23%,24%,24%,31%,31%,31%,28%,30%,26%,25%,25%,
Net Profit,"2,307","2,800","3,839","3,956","4,376","4,151","4,490","5,227","6,060","6,756","7,999","8,892","9,849"
EPS in Rs,10.63,12.91,17.71,18.24,20.17,19.18,20.68,24.09,27.97,31.17,34.03,37.79,41.81
