,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"138,742","185,284","216,355","234,237","216,648","177,910","187,493","219,510","275,491","269,092","233,248","349,913","417,268"
Expenses +,"134,674","180,951","212,740","228,875","211,916","169,575","176,607","208,732","263,963","263,887","217,194","339,669","427,511"
Operating Profit,"4,068","4,333","3,614","5,363","4,733","8,335","10,886","10,778","11,527","5,204","16,055","10,244","-10,243"
OPM %,3%,2%,2%,2%,2%,5%,6%,5%,4%,2%,7%,3%,-2%
Other Income +,961,937,"1,405","1,366","1,836","1,970","3,697","2,785","2,383",679,"2,731","3,897","5,093"
Interest,919,"2,481","1,773","2,393","1,841",723,609,618,786,"1,139",963,997,"1,522"
Depreciation,"1,498","1,922","2,365","3,011","2,497","2,846","2,776","2,834","3,085","3,370","3,625","4,000","4,314"
Profit before tax,"2,612",867,882,"1,325","2,231","6,735","11,197","10,110","10,039","1,374","14,197","9,144","-10,986"
Tax %,35%,80%,43%,19%,33%,31%,26%,29%,33%,-92%,25%,20%,
Net Profit,"1,702",176,500,"1,080","1,489","4,675","8,236","7,218","6,691","2,639","10,663","7,294","-7,661"
EPS in Rs,11.18,1.15,3.29,7.09,9.84,30.68,54.05,47.37,43.91,17.32,73.24,51.42,-54.00
