,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,"1,099","1,378","1,354","1,595","2,049","2,259","2,424","1,893","2,051","2,094","2,627","3,124"
Expenses +,981,"1,213","1,132","1,391","1,790","2,010","2,206","1,673","1,823","1,868","2,291","2,800"
Operating Profit,118,164,222,204,259,249,217,221,229,226,336,325
OPM %,11%,12%,16%,13%,13%,11%,9%,12%,11%,11%,13%,10%
Other Income +,18,37,-7,69,74,51,79,39,2,34,26,57
Interest,1,1,1,1,3,4,3,1,0,0,0,0
Depreciation,46,51,35,34,47,54,54,28,26,24,25,30
Profit before tax,89,151,179,238,283,243,239,231,204,236,337,351
Tax %,18%,14%,14%,15%,22%,20%,17%,28%,50%,31%,33%,32%
Net Profit,73,131,153,202,220,199,199,167,102,162,226,239
EPS in Rs,7.42,13.24,15.44,20.41,22.20,20.18,20.00,16.74,10.07,15.91,21.99,23.16
