,Mar 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,058","1,462","1,756","2,271","2,994","3,507","2,964","3,145","5,975","5,471","5,561","7,731","8,147"
Expenses +,995,"1,380","1,643","2,079","2,763","3,197","2,722","2,916","5,603","5,117","5,182","7,288","7,633"
Operating Profit,64,83,112,193,231,310,243,230,372,354,379,443,514
OPM %,6%,6%,6%,8%,8%,9%,8%,7%,6%,6%,7%,6%,6%
Other Income +,16,15,17,0,1,1,2,1,4,3,5,6,6
Interest,31,46,49,67,116,145,96,88,115,114,70,64,50
Depreciation,27,24,27,55,60,85,61,56,89,103,103,108,114
Profit before tax,22,28,54,71,56,82,87,87,172,140,211,277,356
Tax %,37%,23%,16%,5%,7%,6%,27%,24%,30%,27%,25%,26%,
Net Profit,14,22,45,67,52,73,67,72,121,103,158,205,263
EPS in Rs,,,16.23,15.39,11.93,16.76,15.35,16.34,22.20,18.85,29.10,37.66,48.30
