,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,753","1,446","1,431",961,"1,060","1,250","1,427","1,647","1,755","1,885","1,982","2,692","2,646"
Expenses +,"1,591","1,422","1,462",925,945,"1,089","1,254","1,427","1,538","1,732","1,828","2,435","2,391"
Operating Profit,162,24,-32,36,115,161,173,219,216,153,154,257,255
OPM %,9%,2%,-2%,4%,11%,13%,12%,13%,12%,8%,8%,10%,10%
Other Income +,8,6,38,37,11,13,8,6,10,10,22,28,30
Interest,24,31,37,39,39,35,27,25,19,35,43,44,35
Depreciation,37,47,40,12,21,20,24,26,28,32,30,34,34
Profit before tax,109,-48,-71,22,67,119,131,175,179,97,103,208,216
Tax %,34%,4%,0%,0%,4%,29%,34%,34%,35%,33%,25%,26%,
Net Profit,72,-46,-71,22,64,84,86,115,117,64,77,155,162
EPS in Rs,11.47,-7.39,-11.36,3.46,9.56,12.60,12.84,17.23,17.51,9.61,11.52,23.17,24.12
