,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,871,945,"1,214","1,356","1,494",631,655,602,63
Expenses +,777,914,"1,025","1,186","1,277",677,795,798,257
Operating Profit,95,31,189,170,217,-46,-139,-197,-194
OPM %,11%,3%,16%,13%,15%,-7%,-21%,-33%,-307%
Other Income +,3,26,4,21,7,4,-24,-798,-436
Interest,35,58,103,111,142,176,167,169,317
Depreciation,12,22,37,39,55,49,74,54,51
Profit before tax,50,-23,53,42,26,-267,-404,"-1,218",-999
Tax %,35%,-25%,0%,26%,86%,36%,-10%,0%,0%
Net Profit,32,-28,53,31,4,-172,-443,"-1,218",-999
EPS in Rs,16.11,-10.43,19.62,10.82,0.81,-38.58,-98.57,-239.15,-196.23
