,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,40,46,66,77,87,70,67,101,128,115,144,176,207
Expenses +,30,37,49,62,69,57,56,83,108,97,100,128,154
Operating Profit,11,9,17,15,19,12,10,18,20,19,44,48,53
OPM %,26%,20%,26%,19%,21%,18%,15%,17%,16%,16%,31%,27%,26%
Other Income +,1,2,2,2,3,3,3,4,6,5,4,3,6
Interest,0,0,1,1,1,0,0,0,0,0,0,0,0
Depreciation,0,0,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,11,11,17,16,20,14,12,20,24,22,47,50,58
Tax %,32%,32%,34%,33%,32%,32%,31%,34%,28%,24%,26%,27%,
Net Profit,7,7,11,10,14,9,8,13,18,17,34,36,43
EPS in Rs,2.15,2.08,3.28,2.91,4.08,2.88,2.49,4.17,5.46,5.28,10.67,11.33,13.43
