,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,219,267,397,345,407,547,798,815,899,689,577,747,744
Expenses +,161,196,285,273,304,391,596,618,739,566,471,629,627
Operating Profit,58,71,111,71,103,156,203,197,160,123,107,118,118
OPM %,27%,27%,28%,21%,25%,29%,25%,24%,18%,18%,18%,16%,16%
Other Income +,3,16,14,28,20,24,12,-8,35,26,20,-42,-46
Interest,2,4,10,18,16,19,20,23,4,8,6,5,7
Depreciation,5,4,6,11,11,13,20,21,9,13,17,17,18
Profit before tax,53,79,109,71,96,148,175,145,182,129,104,54,47
Tax %,23%,34%,46%,42%,36%,32%,36%,39%,30%,26%,29%,57%,
Net Profit,41,53,60,41,61,100,113,89,127,95,74,23,18
EPS in Rs,3.94,5.09,5.60,3.97,5.81,8.00,7.95,5.70,11.99,9.43,6.64,1.45,0.87
