,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,833,991,"1,052","1,170","1,244","1,393","1,463","1,729","1,955","1,607","1,597","2,065","2,370"
Expenses +,645,794,873,940,"1,054","1,161","1,207","1,436","1,660","1,425","1,381","1,760","2,004"
Operating Profit,188,197,180,229,190,232,255,293,295,182,216,304,366
OPM %,23%,20%,17%,20%,15%,17%,17%,17%,15%,11%,14%,15%,15%
Other Income +,6,10,10,10,17,18,26,24,22,20,19,29,36
Interest,18,20,32,38,32,26,20,16,14,12,13,11,14
Depreciation,59,71,88,101,96,93,90,90,94,103,103,102,98
Profit before tax,117,115,70,101,79,131,171,211,209,86,120,220,290
Tax %,29%,27%,30%,31%,28%,30%,31%,34%,34%,15%,26%,26%,
Net Profit,83,84,49,70,57,92,118,139,138,73,89,164,216
EPS in Rs,36.96,37.50,21.88,31.13,25.62,40.95,52.78,62.07,61.88,32.64,39.66,74.27,97.87
