,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,47,48,42,62,62,187,134,152,121,132,176,285,332
Expenses +,41,39,32,46,36,160,103,113,85,93,134,194,260
Operating Profit,6,9,10,16,26,28,30,39,36,39,41,92,71
OPM %,14%,18%,24%,25%,42%,15%,23%,26%,29%,29%,23%,32%,21%
Other Income +,-0,0,0,-0,-0,0,1,0,0,0,0,1,17
Interest,1,3,3,9,17,19,19,21,20,17,15,15,21
Depreciation,1,1,1,1,2,2,2,3,3,3,3,3,4
Profit before tax,5,5,6,6,6,7,10,16,12,18,23,74,63
Tax %,35%,28%,35%,38%,25%,39%,41%,24%,28%,32%,27%,27%,
Net Profit,3,4,4,3,5,4,6,12,6,12,17,54,45
EPS in Rs,1.61,1.95,1.46,1.40,2.04,1.72,2.52,2.45,1.18,2.49,2.34,5.38,4.54
