,Sep 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,669","12,369","10,358","11,546","10,088","9,849","11,844","6,250","4,504","4,876","5,645","6,431","8,328"
Expenses +,"6,506","10,562","8,836","10,622","10,290","10,132","11,474","8,865","5,879","4,816","5,074","6,030","7,784"
Operating Profit,"1,163","1,807","1,522",925,-202,-284,370,"-2,614","-1,376",60,571,401,544
OPM %,15%,15%,15%,8%,-2%,-3%,3%,-42%,-31%,1%,10%,6%,7%
Other Income +,194,186,-257,-568,27,80,377,528,111,"2,823",74,61,62
Interest,238,"1,038",868,959,922,976,958,519,560,511,384,393,448
Depreciation,246,"1,022",887,"1,076",991,776,955,240,221,211,209,208,218
Profit before tax,874,-67,-490,"-1,679","-2,089","-1,956","-1,166","-2,846","-2,046","2,161",52,-139,-61
Tax %,19%,55%,24%,12%,13%,8%,1%,23%,0%,10%,325%,1%,
Net Profit,704,-30,-374,"-1,479","-1,814","-1,809","-1,152","-2,204","-2,037","1,950",-117,-137,-53
EPS in Rs,10.49,-0.46,-5.57,-22.02,-19.52,-19.48,-12.19,-8.89,-7.56,10.95,-0.54,-0.65,-0.26
