,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,239,199,283,483,755,"1,112","1,555","1,647","2,288","2,878","3,735","3,978","4,220"
Expenses +,122,116,129,174,289,404,680,"1,002","1,028","1,271","1,593","2,086","2,157"
Operating Profit,117,83,154,309,466,707,875,645,"1,260","1,607","2,142","1,892","2,063"
OPM %,49%,42%,55%,64%,62%,64%,56%,39%,55%,56%,57%,48%,49%
Other Income +,0,0,0,0,0,3,-10,132,70,46,86,5,52
Interest,69,64,108,190,295,437,576,669,966,"1,191","1,445","1,481","1,517"
Depreciation,5,7,7,6,8,14,37,89,93,145,127,127,130
Profit before tax,44,11,40,114,163,260,252,19,271,316,656,289,468
Tax %,35%,131%,20%,35%,35%,36%,37%,28%,35%,35%,22%,30%,
Net Profit,29,-3,32,74,107,167,159,14,177,206,514,203,342
EPS in Rs,6.42,-0.78,5.52,10.24,3.96,6.19,4.72,0.40,5.17,5.99,13.85,4.48,7.43
