,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Sep 2011,Sep 2012,Sep 2013,TTM
Sales +,45,80,131,223,313,548,155,153,146
Expenses +,32,44,70,126,240,553,214,257,222
Operating Profit,13,37,61,97,73,-4,-59,-105,-76
OPM %,28%,46%,47%,44%,23%,-1%,-38%,-69%,-52%
Other Income +,0,0,0,0,1,146,5,6,7
Interest,0,4,6,9,25,54,1,2,1
Depreciation,1,5,14,33,45,41,13,16,18
Profit before tax,12,28,41,56,4,47,-68,-116,-88
Tax %,8%,6%,2%,11%,-8%,64%,-0%,-0%,
Net Profit,11,26,40,50,4,17,-68,-117,-88
EPS in Rs,9.33,22.39,32.83,40.64,3.08,13.24,-53.74,-91.91,-69.76
