,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,091","1,453","1,652","1,938","2,176","2,185","1,961","2,152","2,431","2,104","1,939","2,528","2,918"
Expenses +,992,"1,324","1,551","1,787","1,958","1,858","1,676","1,899","2,168","1,887","1,709","2,359","2,729"
Operating Profit,98,129,101,150,219,326,284,253,263,217,230,170,189
OPM %,9%,9%,6%,8%,10%,15%,14%,12%,11%,10%,12%,7%,6%
Other Income +,6,5,33,2,-7,23,5,15,12,10,5,4,0
Interest,32,57,62,50,33,22,22,31,37,39,33,34,35
Depreciation,16,23,25,26,42,44,56,69,85,100,104,80,81
Profit before tax,57,55,47,77,137,284,211,169,153,87,98,59,72
Tax %,32%,28%,30%,15%,29%,33%,29%,31%,33%,6%,24%,27%,
Net Profit,39,39,33,65,98,190,148,116,103,82,74,43,53
EPS in Rs,51.12,51.18,35.51,73.89,130.11,243.09,192.79,151.68,134.44,107.53,96.54,56.77,69.31
