,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,180,203,236,261,279,287,333,319,244,248,248,261
Expenses +,56,68,88,101,105,105,122,144,162,153,168,166
Operating Profit,123,135,148,160,174,182,211,175,81,96,80,96
OPM %,69%,66%,63%,61%,62%,63%,63%,55%,33%,39%,32%,37%
Other Income +,28,29,36,44,9,34,25,30,31,31,27,30
Interest,0,0,0,1,0,0,0,0,1,1,0,1
Depreciation,2,3,3,5,4,3,3,3,8,8,8,9
Profit before tax,150,160,181,197,178,212,233,202,104,119,99,116
Tax %,28%,29%,28%,30%,33%,31%,30%,32%,20%,23%,22%,
Net Profit,108,114,130,138,120,148,162,138,83,91,77,87
EPS in Rs,37.69,39.78,44.63,47.53,40.68,50.13,55.13,46.66,27.96,30.39,25.34,28.81
