,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,305,336,464,697,906,"1,146","1,195","1,410","1,442","1,608","1,537","1,446","1,397"
Expenses +,300,338,391,583,768,900,992,"1,100","1,119","1,294","1,294","1,254","1,248"
Operating Profit,5,-2,73,114,138,246,203,311,323,314,243,192,149
OPM %,2%,-1%,16%,16%,15%,21%,17%,22%,22%,20%,16%,13%,11%
Other Income +,9,-3,13,12,30,23,6,-3,-42,-35,-11,0,10
Interest,57,57,86,119,121,140,127,140,171,158,126,120,118
Depreciation,22,30,56,84,133,165,241,326,365,346,349,331,328
Profit before tax,-65,-92,-56,-77,-85,-36,-160,-158,-254,-224,-243,-259,-286
Tax %,-2%,-3%,-8%,-8%,-20%,-14%,-12%,-7%,-4%,4%,1%,-1%,
Net Profit,-66,-95,-61,-83,-102,-41,-179,-170,-264,-214,-241,-261,-286
EPS in Rs,-1.38,-2.02,-1.42,-1.81,-1.61,-0.60,-2.16,-2.22,-3.05,-2.32,-2.75,-2.89,-3.15
