,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,811,"1,214","1,206","1,348","1,293",919,534,705,837,750,620,850,"1,012"
Expenses +,746,"1,135","1,137","1,285","1,258",851,501,692,803,719,594,831,983
Operating Profit,65,79,69,64,35,68,33,13,34,32,26,19,29
OPM %,8%,6%,6%,5%,3%,7%,6%,2%,4%,4%,4%,2%,3%
Other Income +,0,6,5,1,4,4,-2,-7,4,1,197,804,582
Interest,41,53,57,81,78,96,122,142,230,227,206,7,8
Depreciation,10,10,10,23,19,17,25,26,25,26,25,25,25
Profit before tax,14,21,7,-40,-58,-42,-116,-163,-217,-220,-8,791,578
Tax %,32%,20%,30%,-55%,27%,15%,19%,1%,-1%,1%,-40%,0%,
Net Profit,10,17,5,-61,-43,-36,-94,-161,-219,-219,-12,791,577
EPS in Rs,6.50,11.37,3.09,-40.94,-28.52,-23.67,-62.77,-107.41,-146.30,-146.14,-7.71,527.25,384.97
