,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,224,249,253,340,271,323,433,323,340,247,317,287
Expenses +,205,240,247,311,241,289,401,302,331,229,281,259
Operating Profit,19,9,7,29,29,35,32,21,9,18,36,28
OPM %,8%,4%,3%,9%,11%,11%,7%,7%,3%,7%,11%,10%
Other Income +,13,17,13,10,10,3,8,11,14,9,1,-3
Interest,6,6,6,6,9,5,6,10,5,7,8,6
Depreciation,5,10,13,14,14,13,17,16,16,15,15,14
Profit before tax,21,11,1,20,16,20,18,6,2,5,14,4
Tax %,12%,13%,27%,39%,30%,53%,61%,37%,202%,36%,15%,48%
Net Profit,19,11,1,12,11,9,7,4,-2,3,12,2
EPS in Rs,2.25,1.35,0.13,1.47,1.35,1.12,0.84,0.43,-0.26,0.37,1.44,0.28
