,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,424,483,568,649,737,710,493,418,522,470,374,505,567
Expenses +,334,407,489,569,612,607,447,340,401,382,290,393,440
Operating Profit,90,76,79,80,125,103,46,79,121,88,84,112,127
OPM %,21%,16%,14%,12%,17%,14%,9%,19%,23%,19%,22%,22%,22%
Other Income +,5,16,13,23,-205,-1,46,82,-2,5,-118,5,5
Interest,10,13,18,18,23,23,16,13,12,18,16,8,8
Depreciation,27,33,32,36,38,17,30,32,31,40,139,14,14
Profit before tax,58,46,42,49,-141,62,46,116,76,34,-189,95,110
Tax %,16%,5%,-9%,-23%,-2%,12%,8%,1%,20%,8%,-2%,20%,
Net Profit,48,44,46,60,-144,55,42,114,61,32,-192,76,90
EPS in Rs,32.74,27.33,27.28,33.17,-72.24,24.62,20.46,37.53,24.09,14.00,-53.49,31.00,36.89
