,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,428,627,666,603,578,665,500,724,183,15,1
Expenses +,461,730,802,731,706,781,598,842,227,53,22
Operating Profit,-34,-103,-135,-129,-128,-116,-98,-118,-44,-38,-21
OPM %,-8%,-16%,-20%,-21%,-22%,-17%,-20%,-16%,-24%,-251%,"-2,632%"
Other Income +,23,155,222,122,124,111,92,84,111,6,2
Interest,9,17,20,12,11,27,20,30,57,8,10
Depreciation,18,23,21,21,18,17,22,22,8,2,2
Profit before tax,-38,12,46,-39,-32,-49,-48,-86,1,-42,-32
Tax %,-18%,-4%,33%,9%,-57%,8%,7%,10%,334%,0%,0%
Net Profit,-44,13,38,-38,-43,-32,-31,-73,-2,-42,-32
EPS in Rs,-2.75,0.79,2.36,-2.34,-2.66,-2.00,-1.82,-3.98,-0.11,-2.01,-1.52
