,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,916,"1,047","2,020","3,189","3,141","5,283","6,373","7,844","8,458","9,180"
Expenses +,769,870,"1,708","2,576","2,534","3,999","4,786","5,991","6,723","7,017"
Operating Profit,147,177,311,613,607,"1,284","1,587","1,853","1,735","2,163"
OPM %,16%,17%,15%,19%,19%,24%,25%,24%,21%,24%
Other Income +,4,8,9,159,43,43,51,67,65,76
Interest,62,88,105,126,66,170,295,362,420,416
Depreciation,35,44,50,69,83,149,189,227,282,269
Profit before tax,55,52,165,577,501,"1,008","1,154","1,331","1,099","1,554"
Tax %,36%,40%,38%,-2%,19%,29%,31%,28%,24%,
Net Profit,35,31,102,588,406,717,801,955,832,"1,163"
EPS in Rs,13.94,12.16,40.76,118.22,40.82,72.06,80.53,96.01,86.04,120.29
