,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,776,"1,000","1,295","1,669","1,891","2,312","2,878","3,034","3,366","3,566","4,188","5,711","7,734"
Expenses +,618,776,982,"1,255","1,501","1,921","2,413","2,565","2,810","3,073","3,505","4,753","6,350"
Operating Profit,158,224,313,415,390,392,465,469,556,493,683,958,"1,384"
OPM %,20%,22%,24%,25%,21%,17%,16%,15%,17%,14%,16%,17%,18%
Other Income +,34,34,29,31,94,77,84,119,88,132,108,144,74
Interest,0,0,0,0,0,0,0,0,0,6,6,12,37
Depreciation,42,61,78,103,94,99,149,158,157,166,176,166,253
Profit before tax,150,197,263,343,390,370,401,429,486,452,609,924,"1,167"
Tax %,7%,28%,29%,27%,25%,25%,25%,25%,28%,25%,26%,25%,
Net Profit,140,142,188,249,291,277,301,323,352,340,451,690,871
EPS in Rs,17.47,17.72,23.45,31.16,36.33,34.66,37.68,40.39,43.96,44.53,58.97,90.34,113.92
