,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,176,254,318,411,507,639,670,753,918
Expenses +,228,373,391,487,490,472,344,458,692
Operating Profit,-52,-119,-74,-76,17,167,326,296,226
OPM %,-29%,-47%,-23%,-19%,3%,26%,49%,39%,25%
Other Income +,23,8,14,19,41,69,87,112,179
Interest,0,1,0,0,0,3,7,5,7
Depreciation,3,4,5,3,4,21,16,12,25
Profit before tax,-32,-115,-64,-60,54,211,389,390,372
Tax %,-0%,-0%,-0%,191%,63%,30%,28%,24%,
Net Profit,-32,-116,-64,55,20,147,280,298,285
EPS in Rs,-34.78,-126.42,-70.18,54.89,7.01,50.96,92.14,97.37,93.22
