,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,254,257,283,425,488,404,692,778,930,883,817,780,843
Expenses +,226,224,247,341,387,354,636,754,848,786,729,710,792
Operating Profit,28,33,36,84,101,51,56,23,82,97,88,70,50
OPM %,11%,13%,13%,20%,21%,13%,8%,3%,9%,11%,11%,9%,6%
Other Income +,2,1,1,1,7,8,32,13,7,5,6,-52,8
Interest,6,6,6,8,5,7,18,22,35,37,30,26,26
Depreciation,13,15,16,16,17,17,23,28,28,41,45,43,43
Profit before tax,11,13,15,62,87,36,46,-14,27,23,19,-52,-10
Tax %,41%,33%,35%,28%,31%,28%,19%,-7%,-1%,31%,38%,-2%,
Net Profit,6,9,10,44,60,26,37,-15,27,16,12,-53,-12
EPS in Rs,4.02,5.81,7.50,27.90,34.49,20.74,26.93,-14.74,21.91,15.47,13.32,-23.70,-10.18
