,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,25,123,60,43,19,8,1,0,0,0,0,0
Expenses +,4,101,43,22,21,18,52,11,25,2,8,-1
Operating Profit,21,22,17,20,-2,-10,-51,-11,-25,-2,-8,1
OPM %,84%,18%,29%,48%,-10%,-119%,"-4,236%","-18,467%","-10,713%",-413%,"-5,144%",780%
Other Income +,0,0,0,0,0,10,-3,56,0,12,20,17
Interest,0,1,1,0,1,1,1,2,0,0,46,60
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,21,21,17,20,-2,-1,-55,43,-25,10,-35,-42
Tax %,20%,22%,32%,36%,-82%,97%,0%,-10%,20%,5%,28%,
Net Profit,16,17,12,13,-4,-0,-54,47,-20,10,-25,-28
EPS in Rs,2.99,2.99,2.11,2.38,-0.79,-0.01,-9.85,8.54,-3.61,1.72,-4.53,-5.11
