,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,206,226,260,260,268,311,357,362,484,526,454,497
Expenses +,175,199,241,244,246,287,326,332,443,482,411,458
Operating Profit,31,27,19,17,22,24,31,30,41,44,43,39
OPM %,15%,12%,7%,6%,8%,8%,9%,8%,8%,8%,9%,8%
Other Income +,1,2,8,0,0,0,-4,-0,0,-0,-1,0
Interest,5,9,15,15,10,10,14,14,16,16,16,16
Depreciation,4,5,8,8,8,9,10,10,11,12,14,14
Profit before tax,23,14,4,-6,4,6,4,5,14,15,12,10
Tax %,21%,18%,14%,3%,3%,-0%,-10%,-2%,5%,-14%,18%,36%
Net Profit,18,12,4,-6,4,6,4,5,13,17,10,6
EPS in Rs,10.77,6.74,2.35,-3.09,2.55,3.63,2.57,3.16,7.79,9.93,5.90,3.75
