,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,441","2,426","2,535","3,172","3,204","3,202","3,201","3,572","4,570","4,487","4,918","6,624","7,759"
Expenses +,"2,188","1,946","2,347","3,080","2,919","2,849","2,758","3,078","3,838","3,706","3,701","5,316","6,429"
Operating Profit,253,479,188,92,285,353,443,494,732,781,"1,217","1,308","1,330"
OPM %,10%,20%,7%,3%,9%,11%,14%,14%,16%,17%,25%,20%,17%
Other Income +,"1,294",-56,63,37,70,-32,177,44,163,131,59,128,310
Interest,47,34,32,54,56,48,47,39,29,18,18,16,23
Depreciation,84,202,150,192,216,209,197,185,209,253,280,273,285
Profit before tax,"1,415",188,69,-117,83,64,376,314,657,640,979,"1,147","1,332"
Tax %,6%,-11%,4%,55%,6%,75%,4%,9%,11%,23%,12%,16%,
Net Profit,"1,337",208,66,-52,78,16,361,284,584,494,862,965,"1,121"
EPS in Rs,330.02,29.38,6.64,-2.14,11.87,9.08,72.44,49.85,103.18,88.18,163.04,181.19,211.29
