,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,239,341,421,243,826,189,305,"1,067","1,787","1,808","1,530","1,401","1,947"
Expenses +,206,286,317,234,826,236,337,990,"1,608","1,617","1,365","1,252","1,775"
Operating Profit,33,55,105,10,-1,-47,-32,77,179,191,164,149,172
OPM %,14%,16%,25%,4%,-0%,-25%,-10%,7%,10%,11%,11%,11%,9%
Other Income +,21,23,14,-2,238,83,78,95,93,112,142,174,264
Interest,59,52,47,40,138,13,10,33,54,77,110,140,123
Depreciation,26,23,68,35,88,27,21,24,11,23,16,16,15
Profit before tax,-31,4,3,-68,11,-4,15,116,207,203,180,167,298
Tax %,-1%,10%,-105%,10%,94%,116%,67%,40%,39%,25%,28%,25%,
Net Profit,-32,3,6,-61,1,1,5,69,127,151,130,126,260
EPS in Rs,-7.89,0.83,1.47,-15.25,0.17,0.04,0.34,4.71,8.56,10.03,8.66,8.33,17.19
